UserID,UserName,Age,Gender,Email,AgeGroup,EnrollmentCount,LearnerSegment
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,<18,1,Single-course
U00002,angela22,29,Female,hallrandy@hotmail.com,26-35,1,Single-course
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,26-35,11,Highly Active
U00004,fthornton,23,Female,christensencatherine@outlook.com,18-25,13,Highly Active
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,18-25,2,Moderate
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,18-25,1,Single-course
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,18-25,1,Single-course
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,26-35,1,Single-course
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,18-25,1,Single-course
U00010,qlam,34,Female,brian31@outlook.com,26-35,2,Moderate
U00011,ashley16,15,Female,guzmanantonio@outlook.com,<18,2,Moderate
U00012,mirandatimothy,15,Female,paula93@outlook.com,<18,2,Moderate
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,26-35,14,Highly Active
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,26-35,1,Single-course
U00015,tbaker,27,Female,kelly33@yahoo.com,26-35,14,Highly Active
U00016,josephmullins,32,Male,amysparks@outlook.com,26-35,1,Single-course
U00017,theresa55,24,Male,pachecojeremy@gmail.com,18-25,3,Moderate
U00018,nicole97,24,Female,aprilharrell@hotmail.com,18-25,16,Highly Active
U00019,rlawson,24,Female,kingjulia@gmail.com,18-25,1,Single-course
U00020,evansmichael,27,Female,eharris@hotmail.com,26-35,1,Single-course
U00021,autumn63,15,Male,julieestrada@hotmail.com,<18,2,Moderate
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,26-35,1,Single-course
U00023,micheal78,32,Male,ashleymorris@yahoo.com,26-35,1,Single-course
U00024,steven43,18,Female,petersonlori@yahoo.com,18-25,1,Single-course
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,26-35,4,Moderate
U00026,andrew02,19,Male,jason57@yahoo.com,18-25,1,Single-course
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,26-35,2,Moderate
